USA-road-d.1.NY.gr; 410,08 ; 399,266 ; 394,344 ; 399,176 ; 395,133; 391,396 ; 398,093 ; 396,671 ; 398,072 ; 396,459 
USA-road-d.2.BAY.gr; 439,213 ; 426,038 ; 424,497 ; 432,132 ; 424,833 ; 425,91 ; 438,095 ; 427,94 ; 428,034 ; 430,651 
\USA-road-d.3.COL.gr; 566,737 ; 558,512 ; 546,117 ; 542,521 ; 546,69 ; 541,002 ; 546,996 ; 550,841 ; 550,485 ; 559,133 
generated(1000,4000).gr' ; 32,9638 ; 22,7926 ; 23,5749 ; 23,6347 ; 23,3379 ; 26,0407 ; 28,2271 ; 19,7065 ; 18,0096 ; 34,1066 
generated(5000,20000).gr' ; 51,117 ; 47,3412 ; 62,1172 ; 48,1323 ; 45,7941 ; 48,9784 ; 48,2342 ; 52,9556 ; 48,638 ; 49,1308 
generated(10000,40000).gr' ; 74,8321 ; 65,947 ; 70,3922 ; 66,7013 ; 64,7152 ; 68,9587 ; 69,3357 ; 68,9032 ; 75,2689 ; 69,96 [ms]

\[ms\]\nCost mst boruvska \[\d*\]\nTime gpu occupied: -> ;
(\d)\.(\d) -> $1,$2
